,Urun,Ekran Boyutu,Dahili Depolama,Bellek(Ram),Puan,Batarya Kapasitesi,Hat Sayısı,Hızlı Şarj,Kamera Çözünürlüğü,Parmak İzi,Ekran Yenileme Hızı,İşletim Sistemi,NFC,Fiyat
244,Huawei P10 (Çift Hat),5.1 İnç,64 GB,4 GB,46puan,3200 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
245,Huawei P10 (Tek Hat) (VTR-L09),5.1 İnç,64 GB,4 GB,46puan,3200 mAh,Tek Hat,Var,12 MP,Var,60 Hz,Android,Var,
246,TCL 20 SE (T671H),6.82 İnç,64 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,"3.919,02"
247,Samsung Galaxy A8 (2018) (Çift Hat) (SM-A530F/DS),5.6 İnç,64 GB,4 GB,46puan,3000 mAh,Çift Hat,Var,16 MP,Var,60 Hz,Android,Var,
248,Samsung Galaxy A8 (2018) (Tek Hat) (SM-A530F),5.6 İnç,64 GB,4 GB,46puan,3000 mAh,Tek Hat,Var,16 MP,Var,60 Hz,Android,Var,
249,Alcatel 3X (2020) (5061U),6.52 İnç,128 GB,6 GB,46puan,5000 mAh,Çift Hat,Yok,48 MP,Var,60 Hz,Android,,
250,ZTE Blade V30 Vita,6.82 İnç,128 GB,4 GB,46puan,5000 mAh,Çift Hat,Var,48 MP,Var,60 Hz,Android,Yok,"3.679,00"
251,Oppo A5 2020 (CPH1931),6.5 İnç,64 GB,3 GB,46puan,5000 mAh,Tek Hat,Yok,12 MP,Var,60 Hz,Android,Var,"6.299,00"
252,BlackBerry KEY2,4.5 İnç,128 GB,6 GB,46puan,3500 mAh,,Var,12 MP,Var,60 Hz,Android,Var,
253,Asus ZenFone 3 Deluxe (4 GB) (ZS570KL),5.7 İnç,64 GB,4 GB,46puan,3000 mAh,Çift Hat,Var,23 MP,Var,60 Hz,Android,Var,
254,HTC U11 EYEs,6.0 İnç,64 GB,4 GB,46puan,3930 mAh,Çift Hat,Var,12 MP,Var,60 Hz,Android,Var,
255,Huawei P30 Lite (24 MP / 64 GB) (MAR-LX1M),6.15 İnç,64 GB,4 GB,46puan,3340 mAh,Çift Hat,Var,24 MP,Var,60 Hz,Android,Var,"6.999,00"
